Year,UK Index Adjusted 1209,USA index Adjusted 1700,Farm Laborers,Coal Miners,Building Laborers,Building Craftsmen,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Straw,Mustard Seed,Saffron,Hay,Cheese,Butter,Milk,Beef,Mutton,Pork,Bacon,Tallow,Wool,Eggs Quid,Firewood,Timber,Cider,Honey
Type,1209 = 1,1700 = 1,Pound/day,Pound/day,Pound/day,Pound/day,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Litre,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Quid/Kilo,Dozen,Quid/Bundle 3 feet long by 2 feet circumference,Quid/Cubic Foot,Quid/Litre,Quid/Litre
1209,1,,0.005723528,0,0.00654337,0.011599676,0.000532783,0,0.000482261,0.000324209,0.00040418,0,0,0,0,0,0,0,0.003674367,0,0,0,0,0,0,0.012768424,0.025996144,0,0,0,0,0
1210,1.025772466,,0.005723528,0,0.00654337,0.011599676,0.000532783,0,0.000482261,0.000324209,0.00040418,0,0,0,0,0,0,0,0.003674367,0,0,0,0,0,0,0.012768424,0.025996144,0,0,0,0,0
1211,1.151143287,,0.004865035,0,0.00654337,0.008662435,0.000661386,0,0.000551155,0.000389051,0.000643014,0,0,0,0,0,0,0,0.003766226,0,0,0,0,0,0,0.012768424,0.025077553,0,0,0,0,0
1212,1.009271176,,0.004977689,0,0.00654337,0.008662435,0.000514411,0,0.000413366,0.00035663,0.000459296,0,0,0,0,0,0,0,0.004041803,0,0,0,0,0,0,0.011206818,0.02094389,0,0,0,0,0
1213,1.009271176,,0.004977689,0,0.00654337,0.008662435,0.000514411,0,0.000413366,0.00035663,0.000459296,0,0,0,0,0,0,0,0.004041803,0,0,0,0,0,0,0.011206818,0.02094389,0,0,0,0,0
1214,0.942401219,,0.005957517,0,0.00654337,0.008662435,0.000440924,0,0.000367437,0.000389051,0.000367437,0,0,0,0,0,0,0,0.003949944,0,0,0,0,0,0,0.011206818,0.025077553,0,0,0,0.000284127,0
1215,0.942401219,,0.005957517,0,0.00654337,0.008662435,0.000440924,0,0.000367437,0.000389051,0.000367437,0,0,0,0,0,0,0,0.003949944,0,0,0,0,0,0,0.011206818,0.025077553,0,0,0,0.000284127,0
1216,1.065745709,,0.005281801,0,0.00654337,0.008662435,0.000551155,0,0.000413366,0.000389051,0.000606271,0,0,0,0,0,0,0,0.003398789,0,0,0,0,0,0,0.011206818,0.026914736,0,0,0,0.000284127,0
1217,1.233908926,,0.005281801,0,0.00654337,0.008662435,0.000845104,0,0.000413366,0.000389051,0.000606271,0,0,0,0,0,0,0,0.003398789,0,0,0,0,0,0,0.011206818,0.026914736,0,0,0,0.000284127,0
1218,1.43897518,,0.004754062,0,0.00654337,0.008662435,0.000955335,0,0.000872662,0.000583576,0.000789989,0,0,0,0,0,0,0,0.003582508,0,0,0,0,0,0,0.011206818,0.024618257,0,0,0,0.000284127,0
1219,1.393924033,,0.005727919,0,0.00654337,0.008662435,0.000955335,0,0.000780803,0.000583576,0.000734873,0,0,0,0,0,0,0,0.003949944,0,0,0,0,0,0,0.011206818,0.024158961,0,0,0,0.000284127,0
1220,1.217295094,,0.005060546,0,0.00654337,0.010245754,0.000716502,0,0.000551155,0.000453892,0.000624642,0,0,0,0,0,0,0,0.003766226,0,0,0,0,0,0,0.011206818,0.02645544,0,0,0,0.000284127,0
1221,1.362849075,,0.005407226,0,0.00654337,0.010744063,0.000992079,0,0.000757838,0.000518734,0.000716502,0,0,0,0,0,0,0,0.003674367,0,0,0,0,0,0,0.011206818,0.024158961,0,0,0,0.000366615,0
1222,1.362849075,,0.005407226,0,0.006621476,0.009900446,0.000992079,0,0.000757838,0.000518734,0.000716502,0,0,0,0,0,0,0,0.003674367,0,0,0,0,0,0,0.011206818,0.024158961,0,0,0,0.000366615,0
1223,0.971661065,,0.005407226,0,0.006621476,0.009900446,0.00040418,0,0.000757838,0.000518734,0.000716502,0,0,0,0,0,0,0,0.003674367,0,0,0,0,0,0,0.011206818,0.024158961,0,0,0,0.000366615,0
1224,1.071999972,,0.005447596,0,0.006621476,0.009900446,0.000532783,0,0.000390401,0.000324209,0.00040418,0,0,0,0,0,0,0,0.003766226,0,0,0,0,0,0,0.011206818,0.029578652,0,0,0,0.000320788,0
