code_1,code_2,code_3,code_4,code_5,name_1,name_2,name_3,name_4,name_5,Short
tokens,tokens,tokens,tokens,tokens,* Tokens *,* Tokens *,* Tokens *,* Tokens *,* Tokens *,
exonumia,exonumia,exonumia,exonumia,exonumia,** Exonumia **,** Exonumia **,** Exonumia **,** Exonumia **,** Exonumia **,
anan,anan,anan,anan,anan,Änän Islands,Änän Islands,Änän Islands,Änän Islands,Änän Islands,
abkhazia,abkhazia,abkhazia,abkhazia,abkhazia,Abkhazia,Abkhazia,Abkhazia,Abkhazia,Abkhazia,ABK
aerican_empire,aerican_empire,aerican_empire,aerican_empire,aerican_empire,Aerican Empire,Aerican Empire,Aerican Empire,Aerican Empire,Aerican Empire,
badakhshan_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Badakhshan, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
balkh_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Balkh, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
ghaznayn_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Ghaznayn, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
herat_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Herat, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
jalalabad_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Jalalabad, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
kabul_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Kabul, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
khanabad_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Khanabad, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
multan_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Multan, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
nimruz_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Nimruz, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
peshawar_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Peshawar, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
qandahar_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Qandahar, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
qunduz_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Qunduz, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
sari_pul_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Sar-i Pul, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
shaburghan_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Shaburghan, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
taliqan_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Taliqan, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
tashqurghan_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,"Tashqurghan, City of",Afghan Cities,Afghan States,Afghanistan,Afghanistan,
uncertain_afghan_city,afghan_cities,afghan_states,afghanistan_section,afghanistan_section,Uncertain Afghan city,Afghan Cities,Afghan States,Afghanistan,Afghanistan,
afghan_cities,afghan_states,afghanistan_section,afghanistan_section,afghanistan_section,Afghan Cities,Afghan States,Afghanistan,Afghanistan,Afghanistan,
herat,afghan_states,afghanistan_section,afghanistan_section,afghanistan_section,Herat,Afghan States,Afghanistan,Afghanistan,Afghanistan,
kashmir_valley,afghan_states,afghanistan_section,afghanistan_section,afghanistan_section,Kashmir Valley,Afghan States,Afghanistan,Afghanistan,Afghanistan,
punjab,afghan_states,afghanistan_section,afghanistan_section,afghanistan_section,Punjab,Afghan States,Afghanistan,Afghanistan,Afghanistan,
qandahar_principality,afghan_states,afghanistan_section,afghanistan_section,afghanistan_section,Qandahar,Afghan States,Afghanistan,Afghanistan,Afghanistan,
afghan_states,afghanistan_section,afghanistan_section,afghanistan_section,afghanistan_section,Afghan States,Afghanistan,Afghanistan,Afghanistan,Afghanistan,
afghanistan,afghanistan_section,afghanistan_section,afghanistan_section,afghanistan_section,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,
afghanistan_section,afghanistan_section,afghanistan_section,afghanistan_section,afghanistan_section,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,
african_tribes,african_tribes,african_tribes,african_tribes,african_tribes,African tribes,African tribes,African tribes,African tribes,African tribes,
bakyiele_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Bakyiele tribe,African tribes,African tribes,African tribes,African tribes,
briffo_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Briffo tribe,African tribes,African tribes,African tribes,African tribes,
dakpanyiri_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Dakpanyiri tribe,African tribes,African tribes,African tribes,African tribes,
donwieyiri_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Donwieyiri tribe,African tribes,African tribes,African tribes,African tribes,
eduola_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Eduola tribe,African tribes,African tribes,African tribes,African tribes,
emuola_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Emuola tribe,African tribes,African tribes,African tribes,African tribes,
ewaala_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Ewaala tribe,African tribes,African tribes,African tribes,African tribes,
haal_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Haal tribe,African tribes,African tribes,African tribes,African tribes,
kabrousse,african_tribes,african_tribes,african_tribes,african_tribes,"Kabrousse, Kingdom of",African tribes,African tribes,African tribes,African tribes,
kanjaga_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Kanjaga Tribe,African tribes,African tribes,African tribes,African tribes,
mantina_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Mantina tribe,African tribes,African tribes,African tribes,African tribes,
manyaala_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Manyaala tribe,African tribes,African tribes,African tribes,African tribes,
mwalba_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Mwalba tribe,African tribes,African tribes,African tribes,African tribes,
naajeri_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Naajeri tribe,African tribes,African tribes,African tribes,African tribes,
ncham_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Ncham Tribe,African tribes,African tribes,African tribes,African tribes,
pokoyirdeme_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Pokoyirdeme tribe,African tribes,African tribes,African tribes,African tribes,
ponaal_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Ponaal Tribe,African tribes,African tribes,African tribes,African tribes,
sandaayiri_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Sandaayiri tribe,African tribes,African tribes,African tribes,African tribes,
sanuori_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Sanuori tribe,African tribes,African tribes,African tribes,African tribes,
sokparihi_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Sokparihi Tribe,African tribes,African tribes,African tribes,African tribes,
syppo_island,african_tribes,african_tribes,african_tribes,african_tribes,Syppo Island,African tribes,African tribes,African tribes,African tribes,
tenhe,african_tribes,african_tribes,african_tribes,african_tribes,Ténhé Tribe,African tribes,African tribes,African tribes,African tribes,
tomboriyiri_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Tomboriyiri tribe,African tribes,African tribes,African tribes,African tribes,
wechaubour_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Wechaubour tribe,African tribes,African tribes,African tribes,African tribes,
wielber_tribe,african_tribes,african_tribes,african_tribes,african_tribes,Wielber Tribe,African tribes,African tribes,African tribes,African tribes,
principality_of_aigues_mortes,principality_of_aigues_mortes,principality_of_aigues_mortes,principality_of_aigues_mortes,principality_of_aigues_mortes,"Aigues-Mortes, Principality of","Aigues-Mortes, Principality of","Aigues-Mortes, Principality of","Aigues-Mortes, Principality of","Aigues-Mortes, Principality of",
aksum,aksum,aksum,aksum,aksum,Aksum,Aksum,Aksum,Aksum,Aksum,
albania_section,albania_section,albania_section,albania_section,albania_section,Albania,Albania,Albania,Albania,Albania,ALB
albanie,albania_section,albania_section,albania_section,albania_section,Albania,Albania,Albania,Albania,Albania,ALB
albanian_cities,albania_section,albania_section,albania_section,albania_section,Albanian notgeld,Albania,Albania,Albania,Albania,ALB
albanian_states,albania_section,albania_section,albania_section,albania_section,Albanian States,Albania,Albania,Albania,Albania,ALB
berat_city,albanian_cities,albania_section,albania_section,albania_section,"Berat, City of",Albanian notgeld,Albania,Albania,Albania,ALB
elbasan_municipality,albanian_cities,albania_section,albania_section,albania_section,"Elbasan, Municipality of",Albanian notgeld,Albania,Albania,Albania,ALB
korce_municipality,albanian_cities,albania_section,albania_section,albania_section,"Korçë, Municiplaity of",Albanian notgeld,Albania,Albania,Albania,ALB
shkroder_city_notgeld,albanian_cities,albania_section,albania_section,albania_section,"Shkodër, City of",Albanian notgeld,Albania,Albania,Albania,ALB
vlora_municipality,albanian_cities,albania_section,albania_section,albania_section,"Vlorë, Municipality of",Albanian notgeld,Albania,Albania,Albania,ALB
drivast_city,albanian_states,albania_section,albania_section,albania_section,"Drivast, City of ",Albanian States,Albania,Albania,Albania,ALB
kruje_lordship,albanian_states,albania_section,albania_section,albania_section,"Krujë, Lordship of",Albanian States,Albania,Albania,Albania,ALB
shkroder_city,albanian_states,albania_section,albania_section,albania_section,"Shkodër, City of",Albanian States,Albania,Albania,Albania,ALB
