Year,UK Index Adjusted 1209,USA index Adjusted 1700,Farm Laborers,Coal Miners,Building Laborers,Building Craftsmen,OLD-Gold,OLD-Gold,OLD-Silver,Silver,Gold,United States Dollars,Afghanistan (Durani Empire),Afghanistan,Afghanistan,Afghanistan,Albania,Albania,Algeria,Algeria,Algeria,Andoran Pesetas,Argentia,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Australia,Australia,Austria-Hungary,Austria-Hungary,Austria-Hungary,Austria,Austria,Austria,Prussia,Germany,Germany,Germany,South German States,North German States,Bremen,Hamburg,Lubeck,Belgium,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Canada,Chile,Chile,Chile,China,China,China,Colombia,Denmark,Europe,Finland,Finland,France,France,Greece,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Israel,Israel,Italy,Japan,South Korea,Malaysia,Malaysia,Mexico,Mexico,Netherlands,New Zealand,New Zealand,Norway,Peru,Peru,Peru,Phillippines,Portugal,Singapore,South Africa,South Africa,Spain,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,United Kingdom Pounds,Venezula
Year,UK Index Adjusted 1209,USA index Adjusted 1700,Farm Laborers,Coal Miners,Building Laborers,Building Craftsmen,OLD-Gold,OLD-Gold,OLD-Silver,Silver,Gold,United States Dollars,Afghanistan (Durani Empire),Afghanistan,Afghanistan,Afghanistan,Albania,Albania,Algeria,Algeria,Algeria,Andoran Pesetas,Argentia,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Australia,Australia,Austria-Hungary,Austria-Hungary,Austria-Hungary,Austria,Austria,Austria,Prussia,Germany,Germany,Germany,South German States,North German States,Bremen,Hamburg,Lubeck,Belgium,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Canada,Chile,Chile,Chile,China,China,China,Colombia,Denmark,Europe,Finland,Finland,France,France,Greece,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Israel,Israel,Italy,Japan,South Korea,Malaysia,Malaysia,Mexico,Mexico,Netherlands,New Zealand,New Zealand,Norway,Peru,Peru,Peru,Phillippines,Portugal,Singapore,South Africa,South Africa,Spain,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,United Kingdom Pounds,Venezula
Type,1209 = 1,1700 = 1,Pound/day,Pound/day,Pound/day,Pound/day,gram in Pounds,normal oz in Pounds,ratio,gram,gram,Dollar (<em>1785-date</em>)+Dollar (<em>1785-date</em>)+Dollar (<em>1988</em>)+Dollar+Dollar (<em>1847-1898</em>)+New Jersey - Dollar+United States - Merchandise Tokens,Anonymous Hammered Copper Coinage+Durrani dynasty - Rupee (<em>1747-1826</em>)+Rupee (<em>1747-1925</em>),Rupee (<em>1747-1925</em>),First afghani (<em>1925-2003</em>),Second afghani (<em>2003-date</em>),Old lek (<em>1926-1965</em>),New lek (<em>1965-date</em>),Algiers Eyalet - Budju (<em>1517-1848</em>),Franc (<em>1848-1959</em>),Dinar (<em>1964-date</em>),Peseta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spanish Oran - Real (<em>1509-1708</em>),,,,,,,"Pound sterling (<em>decimalized, 1971-date</em>)+Pound sterling (<em>1158-1970</em>)+Pound sterling (<em>1707-1970</em>)+Pound sterling (<em>1929-date</em>)+Pound sterling (<em>1282-1970</em>)",
Country,UK,USA,England,England,England,England,.,.,.,.,.,United States,Rupees,Rupees,First Afghanis,Second Afghanis,Old Lek,New Lek,Budju,Franc,Dinar,Andorra,Real,Peso Fuerte,Peso Moneda Nacional,Peso,Old Pesos Argentino,Austral,New Peso Argentino,Pound,Dollar,Thaler,Gulden,Krona,Krona,Old Shilling,Shilling,Thaler,Mark,Reichmark,Deutsche Mark,Gulden,Thaler,Thaler,Mark Courant,Mark,Franc,Milreis,Old Cruzeiro,Cruzeiro,Cruzado,New Cruzado,Cruzado,Cruzeiros Reis,Real,Dollar,Old Peso,Escudo,Peso,Old Yuan,New Yuan,Yuan,Peso,Krone,Euro,Old Markkaa,Markkaa,Old Franc,Franc,Old Drachma,Drachma,Dollar,Rupee,Rupiah,Pound,Pound,Old Sheqaim,New Shequalim,Lire,Yen,Won,Dollar,Ringgit,Old Peso,Peso,Guilder,Pound,Dollar,Kroner,Sol,Inti,New Sol,Peso,Escudo,Dollar,Pound,Rand,Real,Peseta,Rupee,Kronor,Franc,Dollar,Baht,United Kingdom,Bolivar
1209,1209,1700,1209,1740,1209,1209,1209,1209,1209,1209,1209,1209,1747,1747,1925,2004,1929,1964,1517,1848,1964,1936,1813,1826,1881,1970,1983,1985,1992,1910,1966,1524,1754,1892,1921,1925,1953,1566,1873,1925,1948,1690,1566,1566,1666,1502,1913,1916,1948,1967,1986,1989,1990,1994,1995,1913,1917,1960,1976,1922,1933,1981,1926,1913,1999,1921,1971,1913,1960,1915,1982,1916,1916,1967,1951,1948,1980,1986,1913,1916,1982,1921,1976,1921,1993,1913,1928,1968,1915,1948,1985,1991,1948,1916,1981,1928,1961,#N/A,1850,1971,1915,1913,1984,1981,1209,1948
2023,2023,2023,1869,1869,1869,1869,2022,2022,2022,2022,2022,2023,1826,1930,2023,2023,1965,2023,1848,1959,2023,1936,1880,1880,1969,1982,1984,1991,2021,1965,2022,1753,1891,1917,1924,1938,1999,1873,1924,1947,1999,1873,1873,1873,1873,1873,1999,1941,1966,1985,1988,1989,1993,1994,2022,2021,1959,1975,2021,1932,1941,2021,2021,2021,2021,1941,1999,1959,1999,1940,1999,2021,2021,2021,1999,1979,1985,2021,1999,2021,2021,1975,2021,1992,2021,1999,1967,2021,2021,1984,1990,2021,2021,1999,2021,1960,2021,#N/A,1999,2020,2021,2021,2021,2021,2023,2021
1209,1,,0.005723528,0,0.00654337,0.011599676,0.028614143,0.89,15,0.008679623,0.130194351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,
1210,1.025772466,,0.005723528,0,0.00654337,0.011599676,0.028614143,0.89,15,0.008679623,0.130194351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,
1211,1.151143287,,0.004865035,0,0.00654337,0.008662435,0.028614143,0.89,15,0.008679623,0.130194351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,
1212,1.009271176,,0.004977689,0,0.00654337,0.008662435,0.028614143,0.89,15,0.008679623,0.130194351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,
1213,1.009271176,,0.004977689,0,0.00654337,0.008662435,0.028614143,0.89,15,0.008679623,0.130194351,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,
